Steuereinnahmen aus dem Rohstoffsektor;
Einnahmen aus der Feldesabgabe im Jahr 2015 ;
;
Feldesabgabe im Jahr 2015;
Bundesland;in Euro
Niedersachsen;351.000
Bayern;45.200
Brandenburg;29.578
;
http://www.rohstofftransparenz.de/explore/einnahmen/;
